"instruction","output"
"Dijkstra's shortest path to node 11","Use priority queue, update distances to node 11, select minimum distance unvisited node"
"Find kth largest element using heap where k=42","Use min heap of size 42, insert elements, root is kth largest"
"Find first occurrence of 48 in sorted array","Binary search with left bias, continue searching left when target found"
"Explain data structure concept 325","Data structures organize and store data efficiently for specific operations and access patterns"
"Topological sort for DAG with 6 nodes","DFS-based: finish times order, or Kahn's algorithm with indegree for 6 nodes"
"Open addressing with linear probing from index 24","If index 24 occupied, try 24+1, 24+2, ... until empty slot found"
"Hash function for key 2000","Simple: 2000 % table_size, or multiply by prime and mod by table size"
"Explain data structure concept 115","Data structures organize and store data efficiently for specific operations and access patterns"
"Dijkstra's shortest path to node 38","Use priority queue, update distances to node 38, select minimum distance unvisited node"
"Edit distance between strings of length 27","DP: dp[i][j] = min cost to transform first i chars to first j chars"
"Longest common subsequence of length 29","DP: LCS[i][j] = 1 + LCS[i-1][j-1] if match, else max(LCS[i-1][j], LCS[i][j-1])"
"Declare pointer to integer with value 27","int* ptr = new int(27); allocates integer on heap with value 27"
"Implement push operation for stack with capacity 105","Check if size < 105, if yes: stack[++top] = element, else throw overflow"
"Solve 0/1 knapsack with capacity 90","DP table: dp[i][w] = max value using first i items with weight limit 90"
"Quadratic probing starting at 36","Try positions 36, 36+1², 36+2², 36+3² until empty slot found"
"Remove element from vector at position 4","Use erase() for vector, specify iterator or key"
"How to delete in a singly linked list at position 28?","Traverse to position 28-1, adjust pointers to skip node: prev->next = current->next, delete current. Handle head/tail cases."
"Convert infix to postfix with 19 operations","Use operator stack, output operands, pop operators based on precedence rules"
"Explain data structure concept 195","Data structures organize and store data efficiently for specific operations and access patterns"
"What is the time complexity of accessing element at index 47?","O(1) - constant time for random access in arrays"
"Longest increasing subsequence ending at index 7","DP: dp[7] = max length of LIS ending at position 7"
"Time complexity of insertion in queue with 400 elements?","Insertion in queue: O(1), O(log n), O(n), or O(n²) depending on implementation"
"Explain data structure concept 107","Data structures organize and store data efficiently for specific operations and access patterns"
"Implement push operation for stack with capacity 102","Check if size < 102, if yes: stack[++top] = element, else throw overflow"
"Explain data structure concept 450","Data structures organize and store data efficiently for specific operations and access patterns"
"How to delete in a singly linked list at position 4?","Traverse to position 4-1, adjust pointers to skip node: prev->next = current->next, delete current. Handle head/tail cases."
"Dereference pointer at offset 50","*(ptr + 50) accesses value at 50 positions ahead"
"Extract minimum from heap of size 13","Remove root, move last element to root, bubble down to maintain heap property"
"Remove element from multiset at position 0","Use erase() for multiset, specify iterator or key"
"BFS traversal starting from node 2","Use queue: enqueue node 2, while queue not empty: dequeue, visit, enqueue unvisited neighbors"
"Handle collision at index 26 using chaining","Linked list at index 26, insert colliding element at list head or tail"
"Explain data structure concept 384","Data structures organize and store data efficiently for specific operations and access patterns"
"Array of 24 pointers","int* arr[24]; declares array of 24 integer pointers"
"Insert 130 into list","list.insert(130) or push syntax depending on container type"
"Binary search in sorted array of 139 elements","Divide array of 139 in half each iteration, O(log 139) time"
"Longest increasing subsequence ending at index 18","DP: dp[18] = max length of LIS ending at position 18"
"Find kth smallest element where k=46","Inorder traversal with counter, return when counter == 46"
"Evaluate expression with 27 operators using stack","Push operands to stack, for each operator pop required operands, compute and push result"
"Explain data structure concept 391","Data structures organize and store data efficiently for specific operations and access patterns"
"Dijkstra's shortest path to node 44","Use priority queue, update distances to node 44, select minimum distance unvisited node"
"Remove element from list at position 15","Use erase() for list, specify iterator or key"
"Find first occurrence of 39 in sorted array","Binary search with left bias, continue searching left when target found"
"Remove element from map at position 4","Use erase() for map, specify iterator or key"
"Declare pointer to integer with value 11","int* ptr = new int(11); allocates integer on heap with value 11"
"Remove element from map at position 19","Use erase() for map, specify iterator or key"
"Remove element from list at position 7","Use erase() for list, specify iterator or key"
"Hash function for key 1800","Simple: 1800 % table_size, or multiply by prime and mod by table size"
"Handle collision at index 9 using chaining","Linked list at index 9, insert colliding element at list head or tail"
"Declare pointer to integer with value 16","int* ptr = new int(16); allocates integer on heap with value 16"
"Handle collision at index 23 using chaining","Linked list at index 23, insert colliding element at list head or tail"
"How to split in a singly linked list at position 24?","For split operation: traverse to position 24, adjust next pointers accordingly, handle edge cases for head/tail"
"Fibonacci number at position 19","Base: if n<=1 return n; Recursive: return fib(18) + fib(17)"
"How to check if stack with 33 elements is empty?","Return true if top == -1 or size == 0"
"Binary search in sorted array of 127 elements","Divide array of 127 in half each iteration, O(log 127) time"
